Locality,Zip code,Property type,Price,Bedrooms,Living area,Surface of the plot,Facades,Building condition,Fireplace,Equipped kitchen,Garden,Garden surface,Terrace,Terrace surface,Furnished,Swimming pool,Province,Property,Region
Aalst,9500,Villa,575000,5.0,750.0,3110.0,4.0,As new,0,1,0,0.0,0,0.0,0,0,Oost-Vlaanderen,House,Flanders
Antwerp,2980,House,578000,2.0,220.0,1300.0,4.0,As new,1,1,1,1000.0,1,62.0,0,0,Antwerp,House,Flanders
Brussels,1000,Mixed_Use_Building,582000,3.0,172.0,40.0,2.0,As new,0,1,0,0.0,1,6.0,0,0,Brussels,Other,Brussels
Oudenaarde,9700,Mixed_Use_Building,585000,6.0,525.0,772.0,2.0,Not mentioned,0,0,0,0.0,0,0.0,0,0,Oost-Vlaanderen,Other,Flanders
Nivelles,1410,House,589000,4.0,210.0,405.0,2.0,As new,0,1,1,230.0,1,45.0,0,0,Brabant Wallon,House,Wallonia
Brussels,1190,Apartment_Block,590000,3.0,295.0,,3.0,As new,0,0,0,0.0,0,0.0,0,0,Brussels,Other,Brussels
Halle-Vilvoorde,1600,Villa,595000,3.0,227.0,785.0,,Good,0,1,0,0.0,0,0.0,0,0,Vlaams-Brabant,House,Flanders
Brugge,8300,House,598000,3.0,146.0,170.0,2.0,Just renovated,0,1,0,0.0,0,0.0,0,0,West-Vlaanderen,House,Flanders
Turnhout,2280,Villa,620000,3.0,213.0,1717.0,4.0,Not mentioned,1,0,1,1500.0,1,23.0,0,1,Antwerp,House,Flanders
Aalst,9500,Villa,635000,4.0,360.0,1774.0,2.0,Good,0,1,0,0.0,0,0.0,0,0,Oost-Vlaanderen,House,Flanders
Brussels,1030,House,650000,5.0,250.0,90.0,2.0,As new,1,1,1,90.0,1,13.0,0,0,Brussels,House,Brussels
Mechelen,2500,House,665000,4.0,288.0,265.0,2.0,As new,1,1,1,135.0,1,32.0,0,0,Antwerp,House,Flanders
Sint-Niklaas,9150,House,665000,3.0,251.0,1356.0,,Good,0,0,0,0.0,0,0.0,0,0,Oost-Vlaanderen,House,Flanders
