refnis,localité,année,période,nombre transactions - maison,prix médian(€)-maison,prix premier quartile(€)-maison,prix troisième quartile(€)-maison,nombre transactions-appartement,prix médian(€)-appartement,prix premier quartile(€)-appartement,prix troisième quartile(€)-appartement,,,,0
21000,ARRONDISSEMENT DE BRUXELLES-CAPITALE,2018,Q1,42,973000,650000,1350000,2162,195000,150000,270000,,,,4
21000,ARRONDISSEMENT DE BRUXELLES-CAPITALE,2018,Q2,38,750000,539750,1150000,2306,199000,150000,275000,,,,4
21000,ARRONDISSEMENT DE BRUXELLES-CAPITALE,2018,Q3,39,987500,695000,1300000,2194,200000,150000,270000,,,,4
21000,ARRONDISSEMENT DE BRUXELLES-CAPITALE,2018,Q4,43,772500,600000,1125000,2192,200000,150000,280000,,,,4
21000,ARRONDISSEMENT DE BRUXELLES-CAPITALE,2019,Q1,31,925000,600000,1400000,2203,200000,150001,285000,,,,4
21000,ARRONDISSEMENT DE BRUXELLES-CAPITALE,2019,Q2,39,810000,595000,1100000,2353,210000,157000,293000,,,,4
21000,ARRONDISSEMENT DE BRUXELLES-CAPITALE,2019,Q3,36,840000,740000,1200000,2359,215000,163000,300000,,,,4
21000,ARRONDISSEMENT DE BRUXELLES-CAPITALE,2019,Q4,40,950000,730000,1525000,2393,215000,160000,300000,,,,4
21000,ARRONDISSEMENT DE BRUXELLES-CAPITALE,2020,Q1,37,800000,595000,1250000,2036,215000,165000,301500,,,,4
21000,ARRONDISSEMENT DE BRUXELLES-CAPITALE,2020,Q2,44,915000,650000,1337500,2056,230000,170000,310000,,,,4
21000,ARRONDISSEMENT DE BRUXELLES-CAPITALE,2020,Q3,25,1220000,755000,1700000,1839,230000,175000,320000,,,,4
21000,ARRONDISSEMENT DE BRUXELLES-CAPITALE,2020,Q4,47,1150000,710000,1650000,2466,233375,172250,320000,,,,4
21000,ARRONDISSEMENT DE BRUXELLES-CAPITALE,2021,Q1,28,950000,695000,1550000,2227,236500,180000,325000,,,,4
21000,ARRONDISSEMENT DE BRUXELLES-CAPITALE,2021,Q2,38,1162500,860000,1700000,2680,240000,180000,325000,,,,4
21000,ARRONDISSEMENT DE BRUXELLES-CAPITALE,2021,Q3,39,1107500,897000,1470000,2593,250000,185000,335000,,,,4
21000,ARRONDISSEMENT DE BRUXELLES-CAPITALE,2021,Q4,45,1350000,890000,1975000,2518,240000,180000,339000,,,,4
21000,ARRONDISSEMENT DE BRUXELLES-CAPITALE,2022,Q1,32,1225000,700000,1800000,2389,249000,185000,342000,,,,4
21000,ARRONDISSEMENT DE BRUXELLES-CAPITALE,2022,Q2,48,1105000,800000,1500000,2784,250000,190000,340000,,,,4
21000,ARRONDISSEMENT DE BRUXELLES-CAPITALE,2022,Q3,40,1075000,850000,1460000,2626,260000,196000,350000,,,,4
21000,ARRONDISSEMENT DE BRUXELLES-CAPITALE,2022,Q4,53,1240000,810000,1976000,2435,255000,190000,350000,,,,4
